Jurisdiction,Timestep,Date,Mean,Lower,Upper
United States - Arizona,43,2020-03-25 00:00:00,1285.4247294327893,0,3606.41324328403
United States - Arizona,44,2020-03-26 00:00:00,870.8852595090754,0,3353.2798373382734
United States - Arizona,45,2020-03-27 00:00:00,475.09871039041957,0,2172.640606254315
United States - Arizona,46,2020-03-28 00:00:00,822.8916161286924,0,2589.88855991641
United States - Arizona,47,2020-03-29 00:00:00,1542.2277447590561,344.56414217278694,3820.2809412884476
United States - Arizona,48,2020-03-30 00:00:00,2106.601809915846,625.5066648455612,4463.092193984387
United States - Arizona,49,2020-03-31 00:00:00,2165.4710313571654,1021.3185707139066,4298.35304315317
United States - Arizona,50,2020-04-01 00:00:00,1768.2859628832368,524.6892311578864,3963.922165951949
United States - Arizona,51,2020-04-02 00:00:00,1137.622195572619,149.91120890225324,3118.028147179564
United States - Arizona,52,2020-04-03 00:00:00,486.30267564273,0,1974.617060812511
United States - Arizona,53,2020-04-04 00:00:00,130.02309740804446,0,800.4465391463267
United States - Arizona,54,2020-04-05 00:00:00,710.5513923318127,0,5027.430733955384
United States - Arizona,55,2020-04-06 00:00:00,1733.2704957205003,0,6199.057091996958
United States - Arizona,56,2020-04-07 00:00:00,1993.3163861816813,0,5824.117612219106
United States - Arizona,57,2020-04-08 00:00:00,1158.582652654603,0,3787.1421356134274
United States - Arizona,58,2020-04-09 00:00:00,1144.5772111479012,0,4875.084348077949
United States - Arizona,59,2020-04-10 00:00:00,1842.2311722086756,0,6011.20687708796
United States - Arizona,60,2020-04-11 00:00:00,2121.031907346039,0,5647.6291997276185
United States - Arizona,61,2020-04-12 00:00:00,1395.4198095223471,634.1249390225532,3659.1841789546356
United States - Arizona,62,2020-04-13 00:00:00,1132.054974714603,564.5776327915852,2382.5976045045213
United States - Arizona,63,2020-04-14 00:00:00,1006.595148132012,501.3930717455155,2123.3792346413206
United States - Arizona,64,2020-04-15 00:00:00,953.0495683849715,477.6775076446361,2009.4311223593904
United States - Arizona,65,2020-04-16 00:00:00,948.5343990498847,480.3354752522098,2000.7404990943096
United States - Arizona,66,2020-04-17 00:00:00,916.8965529764804,464.38562987920216,1934.3046365852704
United States - Arizona,67,2020-04-18 00:00:00,858.7737943160489,434.8787033313529,1811.3994880178393
United States - Arizona,68,2020-04-19 00:00:00,780.7381137370107,395.11740328239523,1645.7818157798608
United States - Arizona,69,2020-04-20 00:00:00,697.3508968023548,352.5342585007363,1468.4103187053984
United States - Arizona,70,2020-04-21 00:00:00,638.6268103703413,322.4615443191173,1343.1484959152751
United States - Arizona,71,2020-04-22 00:00:00,646.6758873238523,326.5253386829705,1360.0754113372016
United States - Arizona,72,2020-04-23 00:00:00,654.53213635968,330.6403466718956,1377.2156467804043
United States - Arizona,73,2020-04-24 00:00:00,662.5369721099736,334.8072137012785,1394.5718905923875
