Jurisdiction,Timestep,Date,Mean,Lower,Upper
United States - Alaska,31,2020-03-13 00:00:00,738.8888235008656,55.74033454745394,2662.5474278838233
United States - Alaska,32,2020-03-14 00:00:00,792.3807289785958,55.74033454745394,2889.47799726532
United States - Alaska,33,2020-03-15 00:00:00,816.674700850467,55.74033454745394,3040.345810837679
United States - Alaska,34,2020-03-16 00:00:00,864.7993362615509,55.74033454745394,3231.429400905844
United States - Alaska,35,2020-03-17 00:00:00,904.2548028941839,55.74033454745394,3410.2020430405346
United States - Alaska,36,2020-03-18 00:00:00,928.5487747660551,55.74033454745394,3561.0698566128935
United States - Alaska,37,2020-03-19 00:00:00,976.6734101771389,55.74033454745394,3752.1534466810585
United States - Alaska,38,2020-03-20 00:00:00,1016.1288768097718,55.74033454745394,3930.9260888157487
United States - Alaska,39,2020-03-21 00:00:00,1040.422848681643,55.74033454745394,4081.793902388108
United States - Alaska,40,2020-03-22 00:00:00,1088.5474840927268,55.74033454745394,4272.877492456273
United States - Alaska,41,2020-03-23 00:00:00,1128.0029507253598,55.74033454745394,4451.650134590964
United States - Alaska,42,2020-03-24 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,43,2020-03-25 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,44,2020-03-26 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,45,2020-03-27 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,46,2020-03-28 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,47,2020-03-29 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,48,2020-03-30 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,49,2020-03-31 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,50,2020-04-01 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,51,2020-04-02 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,52,2020-04-03 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,53,2020-04-04 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,54,2020-04-05 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,55,2020-04-06 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,56,2020-04-07 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,57,2020-04-08 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,58,2020-04-09 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,59,2020-04-10 00:00:00,1135.0211701479084,55.74033454745394,4561.34968939153
United States - Alaska,60,2020-04-11 00:00:00,1146.5810422427076,55.74033454745394,4597.331630927911
United States - Alaska,61,2020-04-12 00:00:00,1165.365490251318,55.74033454745394,4636.445424825598
